score,count
0,0
1,21000
2,21000
3,21000
4,21000
5,21000
6,21000
7,21000
8,21000
9,21000
10,21000
11,21000
12,21000
13,21000
14,21000
15,21000
16,21000
17,21000
18,21000
19,21000
20,21000
21,21000
22,21000
23,21000
24,21000
25,21000
26,21000
27,21000
28,21000
29,21000
30,21000
31,21000
32,21000
33,21000
34,21000
35,21000
36,21000
37,21000
38,21000
39,21000
40,21000
41,21000
42,21000
43,21000
44,21000
45,21000
46,21000
47,21000
48,21000
49,21000
50,21000
51,21000
52,21000
53,21000
54,21000
55,21000
56,21000
57,21000
58,21000
59,21000
60,21000
61,21000
62,21000
63,21000
64,21000
65,21000
66,21000
67,21000
68,21000
69,21000
70,21000
71,21000
72,21000
73,21000
74,21000
75,21000
76,21000
77,21000
78,21000
79,21000
80,21000
81,21000
82,21000
83,21000
84,21000
85,21000
86,21000
87,21000
88,21000
89,21000
90,21000
91,21000
92,21000
93,21000
94,21000
95,21000
96,21000
97,21000
98,21000
99,21000
100,21000
101,21000
102,21000
103,21000
104,21000
105,21000
106,21000
107,21000
108,21000
109,21000
110,21000
111,21000
112,21000
113,21000
114,21000
115,21000
116,21000
117,21000
118,21000
119,21000
120,21000
121,21000
122,21000
123,21000
124,21000
125,21000
126,21000
127,21000
128,21000
129,21000
130,21000
131,21000
132,21000
133,21000
134,21000
135,21000
136,21000
137,21000
138,21000
139,21000
140,21000
141,21000
142,21000
143,21000
144,21000
145,21000
146,21000
147,21000
148,21000
149,21000
150,21000
151,21000
152,21000
153,21000
154,21000
155,21000
156,21000
157,21000
158,21000
159,21000
160,21000
161,21000
162,21000
163,21000
164,21000
165,21000
166,21000
167,21000
168,21000
169,21000
170,21000
171,21000
172,21000
173,21000
174,21000
175,21000
176,21000
177,21000
178,21000
179,21000
180,21000
181,21000
182,21000
183,21000
184,21000
185,21000
186,21000
187,21000
188,21000
189,21000
190,21000
191,21000
192,21000
193,21000
194,21000
195,21000
196,21000
197,21000
198,21000
199,21000
200,21000
201,21000
202,21000
203,21000
204,21000
205,21000
206,21000
207,21000
208,21000
209,21000
210,21000
211,21000
212,21000
213,21000
214,21000
215,21000
216,21000
217,21000
218,21000
219,21000
220,21000
221,21000
222,21000
223,21000
224,21000
225,21000
226,21000
227,21000
228,21000
229,21000
230,21000
231,21000
232,21000
233,21000
234,21000
235,21000
236,21000
237,21000
238,21000
239,21000
240,21000
241,21000
242,21000
243,21000
244,21000
245,21000
246,21000
247,21000
248,21000
249,21000
250,21000
251,21000
252,21000
253,21000
254,21000
255,21000
256,21000
257,21000
258,21000
259,21000
260,21000
261,21000
262,21000
263,21000
264,21000
265,21000
266,21000
267,21000
268,21000
269,21000
270,21000
271,21000
272,21000
273,21000
274,21000
275,21000
276,21000
277,21000
278,21000
279,21000
280,21000
281,21000
282,21000
283,21000
284,21000
285,21000
286,21000
287,21000
288,21000
289,21000
290,21000
291,21000
292,21000
293,21000
294,21000
295,21000
296,21000
297,21000
298,21000
299,21000
300,21000
301,21000
302,21000
303,21000
304,21000
305,21000
306,21000
307,21000
308,21000
309,21000
310,21000
311,21000
312,21000
313,21000
314,21000
315,21000
316,21000
317,21000
318,21000
319,21000
320,21000
321,21000
322,21000
323,21000
324,21000
325,21000
326,21000
327,21000
328,21000
329,21000
330,21000
331,21000
332,21000
333,21000
334,21000
335,21000
336,21000
337,21000
338,21000
339,21000
340,21000
341,21000
342,21000
343,21000
344,21000
345,21000
346,21000
347,21000
348,21000
349,21000
350,21000
351,21000
352,21000
353,21000
354,21000
355,21000
356,21000
357,21000
358,21000
359,21000
360,21000
361,21000
362,21000
363,21000
364,21000
365,21000
366,21000
367,21000
368,21000
369,21000
370,21000
371,21000
372,21000
373,21000
374,21000
375,21000
376,21000
377,21000
378,21000
379,21000
380,21000
381,21000
382,21000
383,21000
384,21000
385,21000
386,21000
387,21000
388,21000
389,21000
390,21000
391,21000
392,21000
393,21000
394,21000
395,21000
396,21000
397,21000
398,21000
399,21000
400,21000
401,21000
402,21000
403,21000
404,21000
405,21000
406,21000
407,21000
408,21000
409,21000
410,21000
411,21000
412,21000
413,21000
414,21000
415,21000
416,21000
417,21000
418,21000
419,21000
420,21000
421,21000
422,21000
423,21000
424,21000
425,21000
426,21000
427,21000
428,21000
429,21000
430,21000
431,21000
432,21000
433,21000
434,21000
435,21000
436,21000
437,21000
438,21000
439,21000
440,21000
441,21000
442,21000
443,21000
444,21000
445,21000
446,21000
447,21000
448,21000
449,21000
450,21000
451,21000
452,21000
453,21000
454,21000
455,21000
456,21000
457,21000
458,21000
459,21000
460,21000
461,21000
462,21000
463,21000
464,21000
465,21000
466,21000
467,21000
468,21000
469,21000
470,21000
471,21000
472,21000
473,21000
474,21000
475,21000
476,21000
477,21000
478,21000
479,21000
480,21000
481,21000
482,21000
483,21000
484,21000
485,21000
486,21000
487,21000
488,21000
489,21000
490,21000
491,21000
492,21000
493,21000
494,21000
495,21000
496,21000
497,21000
498,21000
499,21000
500,21000
501,21000
502,21000
503,21000
504,21000
505,21000
506,21000
507,21000
508,21000
509,21000
510,21000
511,21000
512,21000
513,21000
514,21000
515,21000
516,21000
517,21000
518,21000
519,21000
520,21000
521,21000
522,21000
523,21000
524,21000
525,21000
526,21000
527,21000
528,21000
529,21000
530,21000
531,21000
532,21000
533,21000
534,21000
535,21000
536,21000
537,21000
538,21000
539,21000
540,21000
541,21000
542,21000
543,21000
544,21000
545,21000
546,21000
547,21000
548,21000
549,21000
550,21000
551,21000
552,21000
553,21000
554,21000
555,21000
556,21000
557,21000
558,21000
559,21000
560,21000
561,21000
562,21000
563,21000
564,21000
565,21000
566,21000
567,21000
568,21000
569,21000
570,21000
571,21000
572,21000
573,21000
574,21000
575,21000
576,21000
577,21000
578,21000
579,21000
580,21000
581,21000
582,21000
583,21000
584,21000
585,21000
586,21000
587,21000
588,21000
589,21000
590,21000
591,21000
592,21000
593,21000
594,21000
595,21000
596,21000
597,21000
598,21000
599,21000
600,21000
601,21000
602,21000
603,21000
604,21000
605,21000
606,21000
607,21000
608,21000
609,21000
610,21000
611,21000
612,21000
613,21000
614,21000
615,21000
616,21000
617,21000
618,21000
619,21000
620,21000
621,21000
622,21000
623,21000
624,21000
625,21000
626,21000
627,21000
628,21000
629,21000
630,21000
631,21000
632,21000
633,21000
634,21000
635,21000
636,21000
637,21000
638,21000
639,21000
640,21000
641,21000
642,21000
643,21000
644,21000
645,21000
646,21000
647,21000
648,21000
649,21000
650,21000
651,21000
652,21000
653,21000
654,21000
655,21000
656,21000
657,21000
658,21000
659,21000
660,21000
661,21000
662,21000
663,21000
664,21000
665,21000
666,21000
667,21000
668,21000
669,21000
670,21000
671,21000
672,21000
673,21000
674,21000
675,21000
676,21000
677,21000
678,21000
679,21000
680,21000
681,21000
682,21000
683,21000
684,21000
685,21000
686,21000
687,21000
688,21000
689,21000
690,21000
691,21000
692,21000
693,21000
694,21000
695,21000
696,21000
697,21000
698,21000
699,21000
700,21000
701,21000
702,21000
703,21000
704,21000
705,21000
706,21000
707,21000
708,21000
709,21000
710,21000
711,21000
712,21000
713,21000
714,21000
715,21000
716,21000
717,21000
718,21000
719,21000
720,21000
721,21000
722,21000
723,21000
724,21000
725,21000
726,21000
727,21000
728,21000
729,21000
730,21000
731,21000
732,21000
733,21000
734,21000
735,21000
736,21000
737,21000
738,21000
739,21000
740,21000
741,21000
742,21000
743,21000
744,21000
745,21000
746,21000
747,21000
748,21000
749,21000
750,21000
751,21000
752,21000
753,21000
754,21000
755,21000
756,21000
757,21000
758,21000
759,21000
760,21000
761,21000
762,21000
763,21000
764,21000
765,21000
766,21000
767,21000
768,21000
769,21000
770,21000
771,21000
772,21000
773,21000
774,21000
775,21000
776,21000
777,21000
778,21000
779,21000
780,21000
781,21000
782,21000
783,21000
784,21000
785,21000
786,21000
787,21000
788,21000
789,21000
790,21000
791,21000
792,21000
793,21000
794,21000
795,21000
796,21000
797,21000
798,21000
799,21000
800,21000
801,21000
802,21000
803,21000
804,21000
805,21000
806,21000
807,21000
808,21000
809,21000
810,21000
811,21000
812,21000
813,21000
814,21000
815,21000
816,21000
817,21000
818,21000
819,21000
820,21000
821,21000
822,21000
823,21000
824,21000
825,21000
826,21000
827,21000
828,21000
829,21000
830,21000
831,21000
832,21000
833,21000
834,21000
835,21000
836,21000
837,21000
838,21000
839,21000
840,21000
841,21000
842,21000
843,21000
844,21000
845,21000
846,21000
847,21000
848,21000
849,21000
850,21000
851,21000
852,21000
853,21000
854,21000
855,21000
856,21000
857,21000
858,21000
859,21000
860,21000
861,21000
862,21000
863,21000
864,21000
865,21000
866,21000
867,21000
868,21000
869,21000
870,21000
871,21000
872,21000
873,21000
874,21000
875,21000
876,21000
877,21000
878,21000
879,21000
880,21000
881,21000
882,21000
883,21000
884,21000
885,21000
886,21000
887,21000
888,21000
889,21000
890,21000
891,21000
892,21000
893,21000
894,21000
895,21000
896,21000
897,21000
898,21000
899,21000
900,21000
901,21000
